"Setting","Statistic","Quantity","Bias.bias_mean","Bias.bias_median","Bias.sd"
"n0=10000","Quantile","X3_q95",0.114364951285187,0.113840751449779,0.0453245669650979
"n0=20000","Quantile","X3_q95",0.103068295368781,0.103605425146616,0.0374902283362214
"n0=40000","Quantile","X3_q95",0.102012801197345,0.101647853542197,0.0379152180769026
"n0=1000","Cov","X3-X1",0.0168668643651836,0.0210647969902452,0.0974946041478001
"n0=2500","Cov","X3-X1",0.00487424936108925,0.00665013615692155,0.0431518771815007
"n0=5000","Cov","X3-X1",-0.0015746768511582,-0.0010228587609894,0.0228229985010082
"n0=10000","Cov","X3-X1",-0.000468701696910789,-0.000295398124477292,0.0123700837845464
"n0=20000","Cov","X3-X1",-0.00100725764718098,-0.000840187907684309,0.00601828029592879
"n0=40000","Cov","X3-X1",-0.000726758718028527,-0.000670424031788602,0.00316413295669724
"n0=1000","Cov","X3-X2",-0.31150355758882,-0.3100525623856,0.0948669629730337
"n0=2500","Cov","X3-X2",-0.173484663360367,-0.173441004500543,0.0422869758202274
"n0=5000","Cov","X3-X2",-0.103908144901226,-0.103602406847538,0.0238413398492213
"n0=10000","Cov","X3-X2",-0.0583677963689267,-0.0576859476243441,0.0126623885740612
"n0=20000","Cov","X3-X2",-0.0312570281430138,-0.0313698567471925,0.00589918077952142
"n0=40000","Cov","X3-X2",-0.0159967356268126,-0.0160880675701152,0.00295733142280455
"n0=1000","Cov","X3-X3",0.239617565025889,0.235191262498936,0.132916972659338
"n0=2500","Cov","X3-X3",0.128876935279113,0.126476418865754,0.0655397043826663
"n0=5000","Cov","X3-X3",0.0803201566195086,0.078742479249045,0.0339915800774136
"n0=10000","Cov","X3-X3",0.0465684916519277,0.0455743733983542,0.0175476242987826
"n0=20000","Cov","X3-X3",0.0247391340250823,0.0245325625103057,0.00813152435219538
"n0=40000","Cov","X3-X3",0.0132224167433433,0.0132341126026478,0.00406717464446881
