"Setting","Method","Size","Statistic","Quantity","Bias.bias_mean","Bias.bias_median","Bias.sd","Bias.rmse"
"CLEAR (double)","CLEAR","double","Quantile","X2_q95",-0.00337350997565864,-0.00333881822571636,0.030360318406418,0.0305169789695421
"synthpop (double)","synthpop","double","Quantile","X2_q95",-0.040961657694901,-0.0400156853643887,0.042170882803916,0.0587595438279003
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Quantile","X2_q95",-0.00561218431730877,-0.00411849992342717,0.038463952183325,0.038833146655112
"CLEAR (half)","CLEAR","half","Cov","X2-X1",0.112121363699946,0.112319730039027,0.044065142371729,0.120453532520354
"synthpop (half)","synthpop","half","Cov","X2-X1",0.356656596479859,0.365030170781658,0.23979330861315,0.429639100881807
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Cov","X2-X1",0.0894328438642038,0.0862285909793332,0.0516193377104903,0.10323497699548
"CLEAR (equal)","CLEAR","equal","Cov","X2-X1",0.0504706392330015,0.0508971465201489,0.0239445326166492,0.0558522997336108
"synthpop (equal)","synthpop","equal","Cov","X2-X1",-0.316224975154502,-0.318164115451706,0.178831040104187,0.363200791208391
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Cov","X2-X1",0.0488631561845731,0.0497997807899253,0.0297269810271314,0.0571798395109976
"CLEAR (double)","CLEAR","double","Cov","X2-X1",0.0254909061259515,0.0252663594940916,0.0130147442828474,0.0286152249114433
"synthpop (double)","synthpop","double","Cov","X2-X1",0.0399350058917498,0.0384618178372325,0.126752372784386,0.132773628307857
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Cov","X2-X1",0.0245744022746636,0.0239394728305102,0.0162551218323552,0.0294550806308544
"CLEAR (half)","CLEAR","half","Cov","X2-X2",-0.0714687435441835,-0.0708502187711701,0.0503595594426524,0.0874001965706474
"synthpop (half)","synthpop","half","Cov","X2-X2",-0.232770856774279,-0.232973912049268,0.243702188385158,0.336829700106596
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Cov","X2-X2",-0.0496907620627318,-0.0486537169728667,0.0531884831987879,0.0727497666654182
"CLEAR (equal)","CLEAR","equal","Cov","X2-X2",-0.0280549383095926,-0.0287304232096561,0.0225836926671782,0.0360011484773977
"synthpop (equal)","synthpop","equal","Cov","X2-X2",0.194120502722671,0.184834539583631,0.170719741387453,0.258398353741859
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Cov","X2-X2",-0.0259539481605072,-0.0259457148946547,0.0317879890298966,0.04101295794246
"CLEAR (double)","CLEAR","double","Cov","X2-X2",-0.0154750801161426,-0.0158250957627004,0.0124653893724752,0.0198633648948015
"synthpop (double)","synthpop","double","Cov","X2-X2",-0.0250196923169638,-0.0202600437676361,0.117206188234979,0.119732205287833
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Cov","X2-X2",-0.0124148579754524,-0.0119849745899758,0.0162699711042428,0.0204526583691236
"CLEAR (half)","CLEAR","half","Mean","X3",-0.0260789980789701,-0.0266632034449004,0.0107185549027391,0.028191697096265
"synthpop (half)","synthpop","half","Mean","X3",0.0745511765578895,0.0736973439884505,0.0514089117384587,0.0905288262372046
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Mean","X3",-0.0264617945160555,-0.0263668101996906,0.0116967161387183,0.0289269098090833
"CLEAR (equal)","CLEAR","equal","Mean","X3",-0.0145798137093674,-0.0145341055129025,0.00505653282895423,0.0154301119568734
"synthpop (equal)","synthpop","equal","Mean","X3",-0.0145119283632212,-0.0154197534419964,0.0361583869668136,0.0389282693548662
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Mean","X3",-0.0154894613682222,-0.0154156971057051,0.0062594306330914,0.0167040571234784
"CLEAR (double)","CLEAR","double","Mean","X3",-0.00873066939334754,-0.0088044294914349,0.00284457590485199,0.00918150406579679
"synthpop (double)","synthpop","double","Mean","X3",-0.0343025547551301,-0.0335011631843025,0.0270035435230433,0.0436394115771969
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Mean","X3",-0.00813755735857595,-0.00828652450626222,0.00344190081981063,0.00883418517210387
"CLEAR (half)","CLEAR","half","Var","X3",0.142738515208987,0.139705026623344,0.0624014722535719,0.155757630875667
"synthpop (half)","synthpop","half","Var","X3",-0.16860321883439,-0.162765792337848,0.268632420142385,0.316932320533216
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Var","X3",0.130564117788276,0.126256800812418,0.0745109312693047,0.150292261858995
"CLEAR (equal)","CLEAR","equal","Var","X3",0.0843045335796915,0.0839325102196504,0.031379225517014,0.0899440985532061
"synthpop (equal)","synthpop","equal","Var","X3",0.129858413566056,0.137351234278221,0.2091229645098,0.245984058488937
